01-BOTAL-ALU|BOTÓN DE ALUMINIO PARA VIALIDAD MODELO BOT-AL|EL BOTÓN VIAL DE ALUMINIO ES UN DISPOSITIVO LIVIANO Y RESISTENTE A IMPACTOS Y ABRASIÓN, DISEÑADO PARA DELINEAR DE MANERA EFECTIVA REDUCTORES DE VELOCIDAD EN ZONAS PEATONALES, CRUCES, VUELTAS.|FÁCIL DE INSTALAR EN CUALQUIER TIPO DE ARROYO VEHICULAR Y ESTÁ DISPONIBLE EN DOS VERSIONES: LISO O CON DOS CARAS DE REFLEJANTE. TAMBIÉN CUENTA CON UN PERNO OPCIONAL PARA UNA MEJOR ADHERENCIA AL PISO.||ALUMINIO|ALUMINIO 380|||ALUMINIO|PEGADO A PISO||||2|10|||||||
01-BOTALR-ALU|BOTÓN DE ALUMINIO CON REFLEJANTE MODELO BOT-ALR|BOTÓN FABRICADO EN ALUMINIO. LIGERO, PERO CON PERFECTA RESISTENCIA AL MÚLTIPLE PASO DE VEHÍCULOS. IDEALES COMO REDUCTORES DE VELOCIDAD, PARA SEÑALAR ZONAS PEATONALES, |HENDIDURAS LATERALES QUE FACILITAN SU COLOCACIÓN MANUAL. PERNO INCLUIDO, PARA UNA MEJOR ADHERENCIA A PISO. SU ALTURA NO AFECTA LA CIRCULACIÓN DE LOS VEHÍCULOS.||ALUMINIO|ALUMINIO 380|||ALUMINIO|PEGADO A PISO||||2|10|||||||LAS HAY LISA, 1 O 2 CARAS RETRORREFLECTIVAS, SI SE QUIERE UNA VISIÓN MONO O BIDIRECCIONAL.
01-BTABS-AM|BOTÓN DE PLÁSTICO ABS MODELO BT-ABS|SON MARCADORES DE PISO DE LARGA DURACIÓN Y FÁCIL INSTALACIÓN, IDEALES PARA DELINEAR DE MANERA EFECTIVA CARRETERAS Y ZONAS PEATONALES. RESISTEN EL PASO DE TODO TIPO DE VEHÍCULOS SIN ROMPERSE |O PERDER SU FORMA. CUENTAN CON UNA CAPA RESISTENTE A LOS RAYOS UV Y ALTA RESISTENCIA AL DESGASTE, LA FRICCIÓN, EL PESO, LA HUMEDAD Y LA LLUVIA. SON UNA OPCIÓN ECONÓMICA PARA SEÑALAR ZONAS DE BAJA VELOCIDAD Y ESTACIONAMIENTOS.||LISO|ABS|||AMPLIA VARIEDAD|PEGADO A PISO||||2.1|10.1|||||||OPCIONAL PERNO DE ABS PARA MAYOR AGARRE AL CONCRETO
01-BTMUL-AM|BOTÓN MULTIVISTA CON REFLEJANTE MODELO BT-MUL|MARCADOR RETROREFLECTIVO FABRICADO EN PLÁSTICO ABS Y DISEÑADO PARA CANALIZAR LA CIRCULACIÓN DE VEHÍCULOS Y GUIAR A LOS USUARIOS EN CONDICIONES DE BAJA VISIBILIDAD. CUENTA CON 5 ESFERAS REFLECTANTES|DE ACRÍLICO METALIZADAS EN UNA O DOS CARAS, RESISTE EL PASO DE TODO TIPO DE VEHÍCULOS Y ES RESISTENTE AL DESGASTE Y LA FRICCIÓN. FÁCIL DE INSTALAR, NO REQUIERE MANTENIMIENTO Y CUENTA CON PROTECCIÓN ANTE RAYOS UV.||LISO|ABS|||AMPLIA VARIEDAD|PEGADO A PISO||||2|10|||||||OPCIONAL PERNO DE ABS PARA MAYOR AGARRE AL CONCRETO
01-LPT02-AV|LOSETA PODOTÁCTIL GUÍA MODELO LPT-02|DISEÑADAS PARA GUIAR A PERSONAS INVIDENTES O CON DISCAPACIDAD VISUAL EN LUGARES PÚBLICOS Y PRIVADOS. SON FÁCILES DE INSTALAR Y CUENTAN CON ACANALADURAS TÁCTILES QUE INDICAN LA DIRECCIÓN DEL RECORRIDO. |TIENEN UN BISEL ANTIDESLIZANTE Y NO OBSTACULIZAN EL PASO DE LOS PEATONES CONVENCIONALES. SE INSTALAN EN ESCUELAS, HOTELES, HOSPITALES, Y OTROS LUGARES PÚBLICOS PARA BRINDAR UNA GUÍA SEGURA Y CONFIABLE.|||PVC|||AMPLIA VARIEDAD|PEGADO A PISO||30|30|0.6||||||||DISPONIBLE EN MODELO TIPO GUÍA (LINEAL) Y DE PREVENCIÓN (PUNTADA)
01-LPT03-AM|LOSETA PODOTÁCTIL MODELO LPT-03|DISEÑADAS PARA GUIAR A PERSONAS INVIDENTES O CON DISCAPACIDAD VISUAL EN LUGARES PÚBLICOS Y PRIVADOS. SON FÁCILES DE INSTALAR Y CUENTAN CON ACANALADURAS TÁCTILES QUE INDICAN LA DIRECCIÓN DEL RECORRIDO. |TIENEN UN BISEL ANTIDESLIZANTE Y NO OBSTACULIZAN EL PASO DE LOS PEATONES CONVENCIONALES. SE INSTALAN EN ESCUELAS, HOTELES, HOSPITALES, Y OTROS LUGARES PÚBLICOS PARA BRINDAR UNA GUÍA SEGURA Y CONFIABLE.|||PVC|||AMPLIA VARIEDAD|PEGADO A PISO||30|30|0.6||||||||DISPONIBLE EN MODELO TIPO GUÍA (LINEAL) Y DE PREVENCIÓN (PUNTADA)
01-MXVR-ALU|MAXIBOTÓN VIBRADOR DE ALUMINIO MODELO MX-VR|REDUCTOR DE VELOCIDAD FABRICADO EN ALUMINIO RESISTENTE A IMPACTOS, CON 16 ESFERAS REFLEJANTES POR CARA. FÁCIL DE INSTALAR, NO NECESITA MANTENIMIENTO.|RESISTENTE AL DESGASTE, LA FRICCIÓN, EL PESO, LA HUMEDAD Y LA LLUVIA. IDEAL PARA COLOCARSE EN CURVAS PELIGROSAS DE CIUDAD O CARRETERA Y CONFINAR CARRILES DE UNO O DOBLE SENTIDO.||ALUMINIO|ALUMINIO 380|||ALUMINIO|PEGADO A PISO||||13|30|||||||REFLEJANTE EN COLORES BLANCO, AMBAR, ROJO, AZUL. OPCIONAL 1 O 2 CARAS.
01-VAINMEGA-AIX|VIALETA MEGALUX INOXIDABLE MODELO VA-IN-MEGA|DISPOSITIVO VIAL CON ALTO PODER REFLEJANTE Y ALTA RESISTENCIA A GOLPES E IMPACTOS. SU DISEÑO INNOVADOR Y CUERPO LISO DE ACERO INOXIDABLE LA HACE ELEGANTE Y RESISTENTE A LA FRICCIÓN Y ABRASIÓN.|ES ÚTIL PARA AUTOPISTAS Y AVENIDAS, Y CUENTA CON UN REFLEJANTE DE ALTA RETROREFLEXIÓN CONFORMADO DE PRISMAS ÓPTICOS. OPCIÓN DE LLEVAR PERNO Y ES LIBRE DE MANTENIMIENTO.||ACERO INOXIDABLE|ACERO INOXIDABLE|||ACERO INOXIDABLE|PEGADO A PISO||10|10|2.2||||||||REFLEJANTE EN COLORES BLANCO, AMARILLO O ROJO. PERNO OPCIONAL.
01-VAINP-AIX|VIALETA DE ACERO INOXIDABLE MODELO VA-INP|DISPOSITIVOS VIALES DE ALTA RESISTENCIA A GOLPES E IMPACTOS QUE SE UTILIZAN EN AUTOPISTAS Y VÍAS DE DOBLE SENTIDO PARA GUIAR A LOS CONDUCTORES Y DISMINUIR ACCIDENTES. FÁCIL DE INSTALAR, NO NECESITA MANTENIMIENTO.|RESISTENTE AL DESGASTE, LA FRICCIÓN, EL PESO, LA HUMEDAD Y LA LLUVIA. REFLEJANTE A BASE DE METIL METACRILATO PROVEE GRAN VISIBILIDAD. PUEDEN VENIR CON UN PERNO OPCIONAL PARA MEJOR SUJECIÓN AL PISO.||ACERO INOXIDABLE|ACERO INOXIDABLE|||ACERO INOXIDABLE|PEGADO A PISO||10|10|2||||||||REFLEJANTE EN COLORES AMBAR, BLANCO O ROJO. PERNO OPCIONAL.
01-VF135B-NA|VIALETA TEMPORAL FLEXIBLE MODELO VF-135|VIALETA MULTIUSOS PARA SEÑALAMIENTO TEMPORAL EN BACHES, COLADERAS DESTAPADAS O CONFINAR CARRILES. DOS GRANDES ÁREAS REFLEJANTES. FABRICADA EN VITEMFLEX. BASE AUTOADHERIBLE OPCIONAL.|GRACIAS A SU FLEXIBILIDAD NO SE DEFORMA DESPUÉS DE SER APLASTADO O ARROLLADO.  SU DISEÑO Y COLORES LO VUELVEN ALTAMENTE VISIBLE.|||VITEMFLEX|||NARANJA/AMARILLO/ROJO|DE PISO / PEGADO A PISO||12.5|5|13.5||||||||OPCIONAL BASE EN PVC REFORZADA. DISPONIBLE EN 2 ALTURAS: 12.5 Y 24.8 CM
